Designator,Val,Package,Mid X,Mid Y,Rotation ,Layer
C1,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,215,-124.3,90,top
C3,1n,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,235.65,-122.05,-90,top
D1,LED,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,244.4,-117.75,90,top
FB1,FerriteBead,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,229.45,-124.4,90,top
FB2,FerriteBead,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,217.05,-128.85,-90,top
J1,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,176.9,-46.54,270,top
J2,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,234.05,-46.54,-270,top
J3,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,176.9,-66.54,270,top
J4,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,234.05,-66.54,-270,top
J5,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,176.9,-86.54,270,top
J6,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,234.05,-86.54,-270,top
J7,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,176.9,-106.54,270,top
J8,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,234.05,-106.54,-270,top
J9,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,240.525,-125.95,90,top
Q1,BSS138,SOT-23,227.55,-46.5,180,top
Q2,BSS138,SOT-23,227.15,-66.5,180,top
Q3,BSS138,SOT-23,227.25,-86.4,180,top
Q4,BSS138,SOT-23,227.15,-106.35,180,top
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,224.75,-46.5,-90,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,230.6,-45.4875,-90,top
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,224.3,-66.55,-90,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,230.15,-65.6,-90,top
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,224.4,-86.4,-90,top
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,230.4,-85.3625,-90,top
R7,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,224.25,-106.35,-90,top
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,230.25,-105.5,-90,top
R9,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,234.35,-124.95,90,top
R10,220R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,240.55,-116.4,180,top
U1,LD1117S33TR_SOT223,SOT-223-3_TabPin2,223.25,-127.75,360,top
c2,10u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,217.1,-124.25,90,top
c4,10u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,229.5,-129.1,-90,top
